symbol,session_date,direction,opening_high,opening_low,last_sweep_time,signal_time,signal_close,fvg_size,stop,target,intended_quantity,actual_quantity,entry_time,entry_price,exit_time,exit_price,exit_reason,gross_pnl,commission,slippage_cost,net_pnl,intended_R,realized_R,intended_risk,realized_risk,risk_percent_intended,risk_percent_realized,quantity_rejection_reason,scenario,equity_before,equity_after,fvg_size_ticks,atr_14,fvg_size_normalized_by_atr,bars_since_last_sweep,minutes_between_last_touch_and_confirmation,year,entry_hour
QQQ,2022-01-05,short,395.37,392.36,2022-01-05T15:00:00+00:00,2022-01-05T15:15:00+00:00,394.04,0.009999999999990905,394.86,392.40000000000003,2,2,2022-01-05T15:20:00+00:00,394.01000000000005,2022-01-05T15:25:00+00:00,394.89,STOP_LOSS,-1.7599999999998772,0.47334000000000004,0.11999999999989086,-2.233339999999877,-1.0731707317072512,-1.3617926829267657,5.0,1.6399999999999864,0.005,0.0016399999999999863,,severe,1000.0,997.7666600000001,0.9999999999990905,1.275169999999997,0.007842091642675823,3,15.0,2022,10
SPY,2022-01-05,short,477.66,476.13,2022-01-05T15:30:00+00:00,2022-01-05T15:35:00+00:00,477.16,0.08999999999997499,477.75,475.9800000000001,2,2,2022-01-05T15:40:00+00:00,477.13000000000005,2022-01-05T17:49:00+00:00,476.01000000000005,TAKE_PROFIT,2.240000000000009,0.5718840000000001,0.11999999999989086,1.668116000000009,1.898305084745851,1.4136576271187116,5.0,1.17999999999995,0.005,0.00117999999999995,,severe,1000.0,1001.668116,8.999999999997499,0.6519857142857249,0.13803983435215816,1,5.0,2022,10
QQQ,2022-01-06,long,386.26,381.94,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,385.31,0.4000000000000341,382.18,391.57,1,1,2022-01-06T15:35:00+00:00,385.33,2022-01-06T20:59:00+00:00,384.0,FORCED_SESSION_CLOSE,-1.329999999999984,0.23079899999999995,0.049999999999954525,-1.560798999999984,-0.4249201277955227,-0.498657827476034,4.9888333000000005,3.1299999999999955,0.005,0.0031370060009822285,,severe,997.7666600000001,996.2058610000001,40.00000000000341,1.801538461538467,0.22203245089668777,2,10.0,2022,10
SPY,2022-01-06,long,470.395,466.81,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,468.785,0.11459999999999582,466.44,473.4750000000001,2,2,2022-01-06T15:35:00+00:00,468.82,2022-01-06T20:59:00+00:00,467.90000000000003,FORCED_SESSION_CLOSE,-1.8399999999999181,0.562032,0.12999999999988177,-2.402031999999918,-0.3923240938166091,-0.5121603411513624,5.0083405800000005,4.690000000000055,0.005,0.004682189564672192,,severe,1001.668116,999.2660840000001,11.459999999999582,1.2711846153846147,0.09015212944920828,2,10.0,2022,10
QQQ,2022-01-07,long,385.76,381.1,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,381.96,0.3199999999999932,380.26,385.35999999999996,2,2,2022-01-07T16:55:00+00:00,381.98999999999995,2022-01-07T17:21:00+00:00,380.23,STOP_LOSS,-3.519999999999868,0.45733199999999996,0.11999999999989086,-3.977331999999868,-1.035294117647027,-1.1698035294117337,4.981029305000001,3.3999999999999773,0.005,0.003412949203678673,,severe,996.2058610000001,992.2285290000003,31.999999999999318,1.0049928571428464,0.31841022324252144,1,5.0,2022,11
SPY,2022-01-07,long,469.2,466.73,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,468.025,0.5683999999999969,466.42,471.2349999999999,2,2,2022-01-07T16:55:00+00:00,468.04999999999995,2022-01-07T19:23:00+00:00,466.39000000000004,STOP_LOSS,-3.3199999999998226,0.5606639999999999,0.10999999999989996,-3.8806639999998227,-1.0342679127725554,-1.2089295950155503,4.9963304200000005,3.2099999999999227,0.005,0.0032123576006407545,,severe,999.2660840000001,995.3854200000003,56.83999999999969,0.7352928571428582,0.7730253251862664,1,5.0,2022,11
QQQ,2022-01-10,long,375.71,371.47,2022-01-10T16:10:00+00:00,2022-01-10T16:15:00+00:00,372.62,0.21299999999996544,370.61,376.64,2,2,2022-01-10T16:20:00+00:00,372.60999999999996,2022-01-10T17:33:00+00:00,370.58000000000004,STOP_LOSS,-4.059999999999832,0.445914,0.08000000000004093,-4.505913999999832,-1.0099502487561816,-1.1208741293531972,4.961142645000002,4.019999999999982,0.005,0.004051486006002535,,severe,992.2285290000003,987.7226150000005,21.299999999996544,0.9975857142857153,0.21351548739095194,1,5.0,2022,11
SPY,2022-01-10,long,463.02,459.01,2022-01-10T16:15:00+00:00,2022-01-10T16:20:00+00:00,459.8,0.060000000000002274,458.44,462.52000000000004,2,2,2022-01-10T16:25:00+00:00,459.83,2022-01-10T16:43:00+00:00,458.41,STOP_LOSS,-2.839999999999918,0.550944,0.11999999999989086,-3.390943999999918,-1.044117647058783,-1.2466705882352516,4.976927100000002,2.7200000000000273,0.005,0.0027326098467466264,,severe,995.3854200000003,991.9944760000004,6.000000000000227,0.8690071428571409,0.06904431165287428,1,5.0,2022,11
QQQ,2022-01-11,short,380.0598,377.2182,2022-01-11T15:30:00+00:00,2022-01-11T15:35:00+00:00,379.26,0.29000000000002046,380.39,377.0,2,2,2022-01-11T15:40:00+00:00,379.24,2022-01-11T16:03:00+00:00,380.41999999999996,STOP_LOSS,-2.3599999999999,0.4557959999999999,0.09999999999990905,-2.8157959999999,-1.0442477876105793,-1.2459274336282793,4.938613075000003,2.259999999999991,0.005,0.002288091783744356,,severe,987.7226150000005,984.9068190000006,29.000000000002046,1.4701142857142844,0.19726357523226037,1,5.0,2022,10
SPY,2022-01-12,short,472.68,470.89,2022-01-12T15:25:00+00:00,2022-01-12T15:30:00+00:00,471.89,0.040000000000020464,472.9,469.87,2,2,2022-01-12T15:35:00+00:00,471.87,2022-01-12T16:06:00+00:00,469.9,TAKE_PROFIT,3.9400000000000546,0.565062,0.09999999999990905,3.3749380000000544,1.950495049504995,1.6707613861386559,4.959972380000003,2.019999999999982,0.005,0.0020363016618249606,,severe,991.9944760000004,995.3694140000005,4.000000000002046,0.8139923076923048,0.04914051351839158,1,5.0,2022,10
